codigo;titulo;tipo_publicacion;anio_publicacion;indexacion;orden_autor;autores;nombre_afiliacion
5953;Analysis of RRT, PRM and Voronoi path planning algorithms to solve a modular maze using a two-DOF platform;ARTÍCULO;2022;SCOPUS;1;Ivan Santiago Palacios Serrano;Universidad de Cuenca, Departamento de Ciencias de la Computación
5971;Building Institutional Capacity for Learning Analytics: Top-Down & Bottom-Up Initiatives;ARTÍCULO;2022;SCOPUS;3;Jorge Javier Maldonado Mahauad;Universidad de Cuenca, Departamento de Ciencias de la Computación
5973;A systematic review of COVID-19 transport policies and mitigation strategies around the globe;ARTÍCULO;2022;SCOPUS;2;Nora Patricia Cazorla Vanegas;Universidad de Cuenca, Departamento de Ciencias de la Computación
5977;Facility layout design in textile MSMEs. Literature review of resilient indicators;ARTÍCULO DE CONFERENCIA;2023;SCOPUS;5;Lorena Catalina Siguenza Guzman;Universidad de Cuenca, Departamento de Ciencias de la Computación
5979;Designing a moodle plugin for promoting learners’ self-regulated learning in blended learning;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;3;Jorge Javier Maldonado Mahauad;Universidad de Cuenca, Departamento de Ciencias de la Computación
5982;Miranda: a chatbot for supporting self-regulated learning;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;5;Darwin Mauricio Calle Morales;Universidad de Cuenca, Departamento de Ciencias de la Computación
6016;A Domain-Specific Language for Modeling IoT System Architectures That Support Monitoring;ARTÍCULO;2022;SCOPUS;2;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
6020;Guest Editorial Learning Analytics in IberoAmerica;ARTÍCULO;2022;SCOPUS;3;Miguel Angel Zuñiga Prieto;Universidad de Cuenca, Departamento de Ciencias de la Computación
6038;The design of a flexible bus line plan;ARTÍCULO;2022;SCOPUS;3;Pablo Fernando Vanegas Peralta;Universidad de Cuenca, Departamento de Ciencias de la Computación
6063;Adaptation of a process mining methodology to analyse learning strategies in a synchronous massive open online course;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;1;Jorge Javier Maldonado Mahauad;Universidad de Cuenca, Departamento de Ciencias de la Computación
6064;Use and product quality of brain-computer interface (BCI) systems: a systematic literature review;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;4;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
6065;Optimization models used in water allocation problems in river basin with reservoirs: a systematic review;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;2;Piedad Magali Mejia Pesantez;Universidad de Cuenca, Departamento de Ciencias de la Computación
6074;Optimization models used in the textile sector: a systematic review;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;6;Jaime Eduardo Veintimilla Reyes;Universidad de Cuenca, Departamento de Ciencias de la Computación
6078;Selecting sites for afforestation to minimize sediment loss from a river basin: Computational complexity of Single and Multiple Flow Direction Methods in raster databases;ARTÍCULO;2023;SCOPUS;2;Rene Gustavo Estrella Maldonado;Universidad de Cuenca, Departamento de Ciencias de la Computación
6097;Granuloma caused by Acanthocheilonema spp. in a canine: case report;ARTÍCULO;2022;SCOPUS;8;Felipe  Rosa Cunha;Universidad de Cuenca, Departamento de Ciencias de la Computación
